id,ptype,v0,v1,v2,v3,v4,v5
18922,p,100,/menu/updateBaseMenu,POST,,,
18960,p,100,/simpleUploader/checkFileMd5,GET,,,
18961,p,100,/simpleUploader/mergeFileMd5,GET,,,
18959,p,100,/simpleUploader/upload,POST,,,
18949,p,100,/swaDict/createSwaDict,POST,,,
18950,p,100,/swaDict/deleteSwaDict,DELETE,,,
18952,p,100,/swaDict/findSwaDict,GET,,,
18953,p,100,/swaDict/getSwaDictList,GET,,,
18951,p,100,/swaDict/updateSwaDict,PUT,,,
18945,p,100,/swaDictail/createSwaDicttail,POST,,,
18946,p,100,/swaDictail/deleteSwaDicttail,DELETE,,,
18947,p,100,/swaDictail/findSwaDicttail,GET,,,
18948,p,100,/swaDictail/getSwaDicttailList,GET,,,
18944,p,100,/swaDictail/updateSwaDicttail,PUT,,,
18954,p,100,/swaRecord/createSwaRecord,POST,,,
18957,p,100,/swaRecord/deleteSwaRecord,DELETE,,,
18958,p,100,/swaRecord/deleteSwaRecordByIds,DELETE,,,
18955,p,100,/swaRecord/findSwaRecord,GET,,,
18956,p,100,/swaRecord/getSwaRecordList,GET,,,
18910,p,100,/swaRole/copyRole,POST,,,
18911,p,100,/swaRole/createRole,POST,,,
18912,p,100,/swaRole/deleteRole,POST,,,
18914,p,100,/swaRole/getRoleList,POST,,,
18916,p,100,/swaRole/setRoleMenus,POST,,,
18915,p,100,/swaRole/setSubRoles,POST,,,
18913,p,100,/swaRole/updateRole,PUT,,,
18936,p,100,/system/getServerInfo,POST,,,
18937,p,100,/system/getSystemConfig,POST,,,
18938,p,100,/system/setSystemConfig,POST,,,
18894,p,100,/user/admin_register,POST,,,
18900,p,100,/user/changePassword,POST,,,
18893,p,100,/user/deleteUser,DELETE,,,
18898,p,100,/user/getUserInfo,GET,,,
18895,p,100,/user/getUserList,POST,,,
18902,p,100,/user/resetPassword,POST,,,
18897,p,100,/user/setSelfInfo,PUT,,,
18899,p,100,/user/setUserAuthorities,POST,,,
18901,p,100,/user/setUserAuthority,POST,,,
18896,p,100,/user/setUserInfo,PUT,,,
19115,p,101,/api/createApi,POST,,,
19116,p,101,/api/deleteApi,POST,,,
19121,p,101,/api/deleteApisByIds,DELETE,,,
19119,p,101,/api/getAllApis,POST,,,
19120,p,101,/api/getApiById,POST,,,
19118,p,101,/api/getApiList,POST,,,
19117,p,101,/api/updateApi,POST,,,
19176,p,101,/authorityBtn/canRemoveAuthorityBtn,POST,,,
19175,p,101,/authorityBtn/getAuthorityBtn,POST,,,
19174,p,101,/authorityBtn/setAuthorityBtn,POST,,,
19130,p,101,/casbin/getPolicyPathByAuthorityId,POST,,,
19129,p,101,/casbin/updateCasbin,POST,,,
19153,p,101,/customer/customer,DELETE,,,
19154,p,101,/customer/customer,GET,,,
19152,p,101,/customer/customer,POST,,,
19151,p,101,/customer/customer,PUT,,,
19155,p,101,/customer/customerList,GET,,,
19145,p,101,/fileUpload/deleteFile,POST,,,
19146,p,101,/fileUpload/editFileName,POST,,,
19147,p,101,/fileUpload/getFileList,POST,,,
19144,p,101,/fileUpload/upload,POST,,,
19141,p,101,/fileUploadAndDownload/breakpointContinue,POST,,,
19142,p,101,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
19140,p,101,/fileUploadAndDownload/findFile,GET,,,
19143,p,101,/fileUploadAndDownload/removeChunk,POST,,,
19104,p,101,/jwt/jsonInBlacklist,POST,,,
19131,p,101,/menu/addBaseMenu,POST,,,
19139,p,101,/menu/addMenuAuthority,POST,,,
19133,p,101,/menu/deleteBaseMenu,POST,,,
19135,p,101,/menu/getBaseMenuById,POST,,,
19137,p,101,/menu/getBaseMenuTree,POST,,,
19132,p,101,/menu/getMenu,POST,,,
19138,p,101,/menu/getMenuAuthority,POST,,,
19136,p,101,/menu/getMenuList,POST,,,
19134,p,101,/menu/updateBaseMenu,POST,,,
19172,p,101,/simpleUploader/checkFileMd5,GET,,,
19173,p,101,/simpleUploader/mergeFileMd5,GET,,,
19171,p,101,/simpleUploader/upload,POST,,,
19161,p,101,/swaDict/createSwaDict,POST,,,
19162,p,101,/swaDict/deleteSwaDict,DELETE,,,
19164,p,101,/swaDict/findSwaDict,GET,,,
19165,p,101,/swaDict/getSwaDictList,GET,,,
19163,p,101,/swaDict/updateSwaDict,PUT,,,
19157,p,101,/swaDictail/createSwaDicttail,POST,,,
19158,p,101,/swaDictail/deleteSwaDicttail,DELETE,,,
19159,p,101,/swaDictail/findSwaDicttail,GET,,,
19160,p,101,/swaDictail/getSwaDicttailList,GET,,,
19156,p,101,/swaDictail/updateSwaDicttail,PUT,,,
19166,p,101,/swaRecord/createSwaRecord,POST,,,
19169,p,101,/swaRecord/deleteSwaRecord,DELETE,,,
19170,p,101,/swaRecord/deleteSwaRecordByIds,DELETE,,,
19167,p,101,/swaRecord/findSwaRecord,GET,,,
19168,p,101,/swaRecord/getSwaRecordList,GET,,,
19122,p,101,/swaRole/copyRole,POST,,,
19123,p,101,/swaRole/createRole,POST,,,
19124,p,101,/swaRole/deleteRole,POST,,,
19126,p,101,/swaRole/getRoleList,POST,,,
19128,p,101,/swaRole/setRoleMenus,POST,,,
19127,p,101,/swaRole/setSubRoles,POST,,,
19125,p,101,/swaRole/updateRole,PUT,,,
19148,p,101,/system/getServerInfo,POST,,,
19149,p,101,/system/getSystemConfig,POST,,,
19150,p,101,/system/setSystemConfig,POST,,,
19106,p,101,/user/admin_register,POST,,,
19112,p,101,/user/changePassword,POST,,,
19105,p,101,/user/deleteUser,DELETE,,,
19110,p,101,/user/getUserInfo,GET,,,
19107,p,101,/user/getUserList,POST,,,
19114,p,101,/user/resetPassword,POST,,,
19109,p,101,/user/setSelfInfo,PUT,,,
19111,p,101,/user/setUserAuthorities,POST,,,
19113,p,101,/user/setUserAuthority,POST,,,
19108,p,101,/user/setUserInfo,PUT,,,
19329,p,102,/api/createApi,POST,,,
19330,p,102,/api/deleteApi,POST,,,
19335,p,102,/api/deleteApisByIds,DELETE,,,
19333,p,102,/api/getAllApis,POST,,,
19334,p,102,/api/getApiById,POST,,,
19332,p,102,/api/getApiList,POST,,,
19331,p,102,/api/updateApi,POST,,,
19390,p,102,/authorityBtn/canRemoveAuthorityBtn,POST,,,
19389,p,102,/authorityBtn/getAuthorityBtn,POST,,,
19388,p,102,/authorityBtn/setAuthorityBtn,POST,,,
19344,p,102,/casbin/getPolicyPathByAuthorityId,POST,,,
19343,p,102,/casbin/updateCasbin,POST,,,
19367,p,102,/customer/customer,DELETE,,,
19368,p,102,/customer/customer,GET,,,
19366,p,102,/customer/customer,POST,,,
19365,p,102,/customer/customer,PUT,,,
19369,p,102,/customer/customerList,GET,,,
19359,p,102,/fileUpload/deleteFile,POST,,,
19360,p,102,/fileUpload/editFileName,POST,,,
19361,p,102,/fileUpload/getFileList,POST,,,
19358,p,102,/fileUpload/upload,POST,,,
19355,p,102,/fileUploadAndDownload/breakpointContinue,POST,,,
19356,p,102,/fileUploadAndDownload/breakpointContinueFinish,POST,,,
19354,p,102,/fileUploadAndDownload/findFile,GET,,,
19357,p,102,/fileUploadAndDownload/removeChunk,POST,,,
19318,p,102,/jwt/jsonInBlacklist,POST,,,
19345,p,102,/menu/addBaseMenu,POST,,,
19353,p,102,/menu/addMenuAuthority,POST,,,
19347,p,102,/menu/deleteBaseMenu,POST,,,
19349,p,102,/menu/getBaseMenuById,POST,,,
19351,p,102,/menu/getBaseMenuTree,POST,,,
19346,p,102,/menu/getMenu,POST,,,
19352,p,102,/menu/getMenuAuthority,POST,,,
19350,p,102,/menu/getMenuList,POST,,,
19348,p,102,/menu/updateBaseMenu,POST,,,
19386,p,102,/simpleUploader/checkFileMd5,GET,,,
19387,p,102,/simpleUploader/mergeFileMd5,GET,,,
19385,p,102,/simpleUploader/upload,POST,,,
19375,p,102,/swaDict/createSwaDict,POST,,,
19376,p,102,/swaDict/deleteSwaDict,DELETE,,,
19378,p,102,/swaDict/findSwaDict,GET,,,
19379,p,102,/swaDict/getSwaDictList,GET,,,
19377,p,102,/swaDict/updateSwaDict,PUT,,,
19371,p,102,/swaDictail/createSwaDicttail,POST,,,
19372,p,102,/swaDictail/deleteSwaDicttail,DELETE,,,
19373,p,102,/swaDictail/findSwaDicttail,GET,,,
19374,p,102,/swaDictail/getSwaDicttailList,GET,,,
19370,p,102,/swaDictail/updateSwaDicttail,PUT,,,
19380,p,102,/swaRecord/createSwaRecord,POST,,,
19383,p,102,/swaRecord/deleteSwaRecord,DELETE,,,
19384,p,102,/swaRecord/deleteSwaRecordByIds,DELETE,,,
19381,p,102,/swaRecord/findSwaRecord,GET,,,
19382,p,102,/swaRecord/getSwaRecordList,GET,,,
19336,p,102,/swaRole/copyRole,POST,,,
19337,p,102,/swaRole/createRole,POST,,,
19338,p,102,/swaRole/deleteRole,POST,,,
19340,p,102,/swaRole/getRoleList,POST,,,
19342,p,102,/swaRole/setRoleMenus,POST,,,
19341,p,102,/swaRole/setSubRoles,POST,,,
19339,p,102,/swaRole/updateRole,PUT,,,
19362,p,102,/system/getServerInfo,POST,,,
19363,p,102,/system/getSystemConfig,POST,,,
19364,p,102,/system/setSystemConfig,POST,,,
19320,p,102,/user/admin_register,POST,,,
19326,p,102,/user/changePassword,POST,,,
19319,p,102,/user/deleteUser,DELETE,,,
19324,p,102,/user/getUserInfo,GET,,,
19321,p,102,/user/getUserList,POST,,,
19328,p,102,/user/resetPassword,POST,,,
19323,p,102,/user/setSelfInfo,PUT,,,
19325,p,102,/user/setUserAuthorities,POST,,,
19327,p,102,/user/setUserAuthority,POST,,,
19322,p,102,/user/setUserInfo,PUT,,,
19616,p,2,/api/createApi,POST,,,
19617,p,2,/api/deleteApi,POST,,,
19622,p,2,/api/deleteApisByIds,DELETE,,,
19620,p,2,/api/getAllApis,POST,,,
19621,p,2,/api/getApiById,POST,,,
19619,p,2,/api/getApiList,POST,,,
19618,p,2,/api/updateApi,POST,,,
19678,p,2,/authorityBtn/canRemoveAuthorityBtn,POST,,,
19677,p,2,/authorityBtn/getAuthorityBtn,POST,,,
19676,p,2,/authorityBtn/setAuthorityBtn,POST,,,
19632,p,2,/casbin/getPolicyPathByAuthorityId,POST,,,
19631,p,2,/casbin/updateCasbin,POST,,,
19655,p,2,/customer/customer,DELETE,,,
